spectrum_id,compound_name,CAS_number,adhesive_class,spectral_type,wavenumber_range,measurement_conditions,instrument,baseline_correction_method,source_database,source_doi,Q_SNR,Q_res,Q_base,Q_peak,Q_total,qc_disposition,data_quality_notes
SPEC-00177,Ethyl acrylate,140-88-5,Acrylic/PSA,Raman,200-3500 cm-1,"25C, N2 purge",WITec alpha300,Rubberband,SDBS,10.7229/ff0dd5f4,0.902,0.833,0.627,0.852,0.82,ACCEPT,
SPEC-00731,Phenyltrimethoxysilane,2996-92-1,Silicone,Raman,200-3500 cm-1,"23C, dry air",Bruker Senterra II,SNIP,KnowItAll,10.5968/021c1469,0.751,0.809,0.603,0.722,0.73,FLAG,
SPEC-00018,Isobutyl methacrylate,97-86-9,Acrylic/PSA,FTIR,650-4000 cm-1,"Ambient, KBr pellet",Thermo Nicolet iS50,ALS,Open SPECY,10.7735/6ad7b0db,0.933,0.676,0.594,0.772,0.769,ACCEPT,
SPEC-00168,Hydroxypropyl methacrylate,27813-02-1,Acrylic/PSA,Raman,200-3500 cm-1,"25C, N2 purge",WITec alpha300,Rubberband,SDBS,10.6123/2c5f8815,0.737,0.946,0.622,0.731,0.765,ACCEPT,
SPEC-00247,Nitrile rubber,9003-18-3,Rubber-based,IR,650-4000 cm-1,"23C, dry air",Agilent Cary 630,Rubberband,SpectraBase,10.9022/43acd3ba,0.838,0.968,0.969,0.669,0.863,ACCEPT,
SPEC-00133,Hydroxypropyl methacrylate,27813-02-1,Acrylic/PSA,Raman,200-3500 cm-1,"Room temperature, ambient atmosphere",WITec alpha300,SNIP,SpectraBase,10.8170/5675b8e9,0.704,0.672,0.862,0.85,0.757,ACCEPT,
SPEC-00256,Polybutadiene,9003-17-2,Rubber-based,FTIR,650-4000 cm-1,"23C, dry air",Agilent Cary 630,SNIP,SDBS,10.5558/4d1feea0,0.808,0.853,0.946,0.637,0.813,ACCEPT,
SPEC-00694,Phenyltrimethoxysilane,2996-92-1,Silicone,Raman,200-3500 cm-1,"Room temperature, ambient atmosphere",Bruker Senterra II,SNIP,Open SPECY,10.7766/86911877,0.667,0.631,0.57,0.643,0.634,FLAG,
SPEC-00364,Polyester hot-melt,25038-59-9,Hot-melt,IR,650-4000 cm-1,"23C, dry air",Bruker Vertex 70,ALS,KnowItAll,10.9973/ba14ced9,0.728,0.737,0.923,0.986,0.821,ACCEPT,
SPEC-00631,Methyltrimethoxysilane,1185-55-3,Silicone,IR,650-4000 cm-1,"23C, dry air",JASCO FT/IR-6600,Rubberband,KnowItAll,10.6698/30d8cb5c,0.715,0.741,0.591,0.938,0.741,FLAG,
SPEC-00159,Butyl acrylate,141-32-2,Acrylic/PSA,Raman,200-3500 cm-1,"Room temperature, ambient atmosphere",WITec alpha300,Rubberband,Open SPECY,10.7708/b3e4a28d,0.673,0.759,0.873,0.791,0.758,ACCEPT,
SPEC-00060,Butyl acrylate,141-32-2,Acrylic/PSA,FTIR,650-4000 cm-1,"23C, dry air",Bruker Vertex 70,SNIP,KnowItAll,10.8753/61fbfb92,0.753,0.762,0.659,0.866,0.759,ACCEPT,
SPEC-00775,Butyl cyanoacrylate,6606-65-1,Cyanoacrylate,IR,650-4000 cm-1,"25C, N2 purge",Thermo Nicolet iS50,Polynomial (3rd order),PubChem,10.6544/fe7cb561,0.969,0.608,0.855,0.752,0.813,ACCEPT,
SPEC-00119,Ethyl acrylate,140-88-5,Acrylic/PSA,Raman,200-3500 cm-1,"25C, N2 purge",Horiba LabRAM HR,Polynomial (3rd order),NIST WebBook,10.6562/7fcf71dc,0.802,0.76,0.585,0.948,0.777,ACCEPT,
SPEC-00238,Polybutadiene,9003-17-2,Rubber-based,FTIR,650-4000 cm-1,"Ambient, KBr pellet",PerkinElmer Spectrum Two,Polynomial (3rd order),SDBS,10.4621/6e6ea4b4,0.687,0.639,0.65,0.899,0.71,FLAG,
SPEC-00585,Cycloaliphatic epoxy,2386-87-0,Epoxy,Raman,200-3500 cm-1,"Ambient, 785nm laser",Renishaw inVia,Rubberband,PubChem,10.4884/17f88b28,0.887,0.73,0.901,0.73,0.819,ACCEPT,
SPEC-00667,Methyltrimethoxysilane,1185-55-3,Silicone,FTIR,650-4000 cm-1,"Ambient, KBr pellet",Bruker Vertex 70,ALS,SDBS,10.6353/3ffee476,0.894,0.803,0.708,0.841,0.823,ACCEPT,
SPEC-00173,Methyl acrylate,96-33-3,Acrylic/PSA,Raman,200-3500 cm-1,"Ambient, 785nm laser",Thermo DXR3,ALS,SpectraBase,10.9341/7a7075af,0.928,0.736,0.973,0.902,0.884,ACCEPT,
SPEC-00568,Novolac epoxy,28064-14-4,Epoxy,Raman,200-3500 cm-1,"23C, dry air",WITec alpha300,Polynomial (3rd order),NIST WebBook,10.2485/a28566f2,0.977,0.744,0.857,0.76,0.851,ACCEPT,
SPEC-00876,Polycaprolactone diol,36890-68-3,Polyurethane,IR,650-4000 cm-1,"Room temperature, ambient atmosphere",Bruker Vertex 70,SNIP,KnowItAll,10.9074/e8e843f1,0.734,0.637,0.809,0.634,0.705,FLAG,
SPEC-00624,Epichlorohydrin,106-89-8,Epoxy,Raman,200-3500 cm-1,"Room temperature, ambient atmosphere",WITec alpha300,Polynomial (3rd order),NIST WebBook,10.6939/9aba6dfa,0.955,0.931,0.858,0.72,0.883,ACCEPT,
SPEC-00699,Vinyltrimethoxysilane,2768-02-7,Silicone,Raman,200-3500 cm-1,"Room temperature, ambient atmosphere",Thermo DXR3,Rubberband,NIST WebBook,10.4083/2884e5b4,0.681,0.654,0.636,0.926,0.714,FLAG,
SPEC-00915,Methylene diphenyl diisocyanate,101-68-8,Polyurethane,Raman,200-3500 cm-1,"25C, N2 purge",Renishaw inVia,SNIP,NIST WebBook,10.5699/829cdabb,0.969,0.61,0.742,0.659,0.772,ACCEPT,
SPEC-00277,Nitrile rubber,9003-18-3,Rubber-based,IR,650-4000 cm-1,"25C, N2 purge",Agilent Cary 630,Rubberband,NIST WebBook,10.1862/be8d8b8b,0.762,0.93,0.807,0.648,0.79,ACCEPT,
SPEC-00166,Isobutyl methacrylate,97-86-9,Acrylic/PSA,Raman,200-3500 cm-1,"Ambient, 785nm laser",Thermo DXR3,Rubberband,NIST WebBook,10.6658/a0d57222,0.721,0.843,0.691,0.887,0.779,ACCEPT,
SPEC-00083,Isobutyl methacrylate,97-86-9,Acrylic/PSA,IR,650-4000 cm-1,"Ambient, KBr pellet",Bruker Vertex 70,Polynomial (3rd order),PubChem,10.6383/3a437446,0.924,0.706,0.83,0.759,0.818,ACCEPT,
SPEC-00112,Butyl acrylate,141-32-2,Acrylic/PSA,Raman,200-3500 cm-1,"23C, dry air",Horiba LabRAM HR,ALS,KnowItAll,10.6105/5bc7b84e,0.911,0.686,0.739,0.736,0.785,ACCEPT,
SPEC-00227,Styrene-butadiene rubber,9003-55-8,Rubber-based,IR,650-4000 cm-1,"23C, dry air",Bruker Vertex 70,ALS,Open SPECY,10.6188/3d47b65e,0.744,0.752,0.903,0.662,0.761,ACCEPT,
SPEC-00871,Isophorone diisocyanate,4098-71-9,Polyurethane,FTIR,650-4000 cm-1,"Room temperature, ambient atmosphere",Thermo Nicolet iS50,Polynomial (3rd order),KnowItAll,10.9021/55a00486,0.983,0.913,0.606,0.811,0.856,ACCEPT,
SPEC-00865,Hexamethylene diisocyanate,822-06-0,Polyurethane,IR,650-4000 cm-1,"25C, N2 purge",JASCO FT/IR-6600,ALS,SDBS,10.6769/4fe543c0,0.881,0.778,0.81,0.878,0.84,ACCEPT,
SPEC-00932,Isophorone diisocyanate,4098-71-9,Polyurethane,Raman,200-3500 cm-1,"Room temperature, ambient atmosphere",Thermo DXR3,Polynomial (3rd order),PubChem,10.2710/dca43997,0.708,0.921,0.841,0.678,0.782,ACCEPT,
SPEC-00350,Styrene-butadiene rubber,9003-55-8,Rubber-based,Raman,200-3500 cm-1,"Ambient, 785nm laser",Horiba LabRAM HR,Polynomial (3rd order),SpectraBase,10.6864/1f7c4e72,0.824,0.844,0.9,0.933,0.866,ACCEPT,
SPEC-00884,Isophorone diisocyanate,4098-71-9,Polyurethane,FTIR,650-4000 cm-1,"Ambient, KBr pellet",Thermo Nicolet iS50,SNIP,KnowItAll,10.2780/e76652d9,0.788,0.72,0.743,0.673,0.739,FLAG,
SPEC-00379,Hydrogenated rosin,65997-06-0,Hot-melt,IR,650-4000 cm-1,"25C, N2 purge",Thermo Nicolet iS50,Rubberband,PubChem,10.6724/38b4f5d3,0.674,0.802,0.737,0.815,0.747,FLAG,
SPEC-00099,Ethyl acrylate,140-88-5,Acrylic/PSA,FTIR,650-4000 cm-1,"Room temperature, ambient atmosphere",PerkinElmer Spectrum Two,Polynomial (3rd order),SpectraBase,10.1349/b188a360,0.989,0.98,0.921,0.637,0.903,ACCEPT,
SPEC-00064,Acrylic acid,79-10-7,Acrylic/PSA,IR,650-4000 cm-1,"Room temperature, ambient atmosphere",Bruker Vertex 70,SNIP,Open SPECY,10.2869/44e0765d,0.814,0.776,0.633,0.621,0.73,FLAG,
SPEC-00767,Octyl cyanoacrylate,16493-40-6,Cyanoacrylate,FTIR,650-4000 cm-1,"25C, N2 purge",PerkinElmer Spectrum Two,Polynomial (3rd order),PubChem,10.1991/f0dd5793,0.818,0.848,0.634,0.655,0.756,ACCEPT,
SPEC-00798,2-Methoxyethyl cyanoacrylate,27816-23-5,Cyanoacrylate,IR,650-4000 cm-1,"Ambient, KBr pellet",Thermo Nicolet iS50,ALS,SDBS,10.2565/a21fea0c,0.907,0.783,0.96,0.673,0.84,ACCEPT,
SPEC-00774,Butyl cyanoacrylate,6606-65-1,Cyanoacrylate,IR,650-4000 cm-1,"25C, N2 purge",Thermo Nicolet iS50,Rubberband,SDBS,10.5029/de4a49c6,0.711,0.954,0.873,0.736,0.809,ACCEPT,
SPEC-00287,Styrene-butadiene rubber,9003-55-8,Rubber-based,Raman,200-3500 cm-1,"25C, N2 purge",WITec alpha300,ALS,Open SPECY,10.8408/8c69ef71,0.887,0.704,0.996,0.612,0.808,ACCEPT,
SPEC-00764,Butyl cyanoacrylate,6606-65-1,Cyanoacrylate,FTIR,650-4000 cm-1,"Ambient, KBr pellet",Bruker Vertex 70,SNIP,PubChem,10.5831/16b23308,0.864,0.773,0.596,0.622,0.739,FLAG,
SPEC-00021,2-Ethylhexyl acrylate,103-11-7,Acrylic/PSA,IR,650-4000 cm-1,"Room temperature, ambient atmosphere",Thermo Nicolet iS50,SNIP,SpectraBase,10.7209/f1084acb,0.792,0.793,0.939,0.961,0.855,ACCEPT,
SPEC-00150,Butyl acrylate,141-32-2,Acrylic/PSA,Raman,200-3500 cm-1,"Ambient, 785nm laser",Bruker Senterra II,Polynomial (3rd order),Open SPECY,10.3730/39970451,0.678,0.864,0.688,0.841,0.759,ACCEPT,
SPEC-00189,Acrylic acid,79-10-7,Acrylic/PSA,Raman,200-3500 cm-1,"23C, dry air",Bruker Senterra II,ALS,Open SPECY,10.8007/93a01971,0.849,0.903,0.629,0.942,0.837,ACCEPT,
SPEC-00368,Polyethylene wax,9002-88-4,Hot-melt,IR,650-4000 cm-1,"23C, dry air",Bruker Vertex 70,SNIP,Open SPECY,10.5067/4630e926,0.88,0.842,0.695,0.953,0.848,ACCEPT,
SPEC-00653,Aminopropyltriethoxysilane,919-30-2,Silicone,FTIR,650-4000 cm-1,"25C, N2 purge",Thermo Nicolet iS50,SNIP,SpectraBase,10.1304/06c2362c,0.791,0.85,0.754,0.905,0.821,ACCEPT,
SPEC-00070,Hydroxypropyl methacrylate,27813-02-1,Acrylic/PSA,FTIR,650-4000 cm-1,"23C, dry air",PerkinElmer Spectrum Two,Polynomial (3rd order),PubChem,10.8078/6ad9346e,0.98,0.8,0.772,0.632,0.824,ACCEPT,
SPEC-00656,Octamethylcyclotetrasiloxane,556-67-2,Silicone,FTIR,650-4000 cm-1,"Room temperature, ambient atmosphere",PerkinElmer Spectrum Two,Rubberband,SpectraBase,10.4144/82bbf61c,0.706,0.875,0.656,0.695,0.736,FLAG,
SPEC-00404,Polyamide resin,63428-84-2,Hot-melt,IR,650-4000 cm-1,"Ambient, KBr pellet",Thermo Nicolet iS50,SNIP,KnowItAll,10.2856/5a5a44c8,0.777,0.887,0.603,0.692,0.753,ACCEPT,
SPEC-00648,Methyltrimethoxysilane,1185-55-3,Silicone,IR,650-4000 cm-1,"Ambient, KBr pellet",PerkinElmer Spectrum Two,Polynomial (3rd order),SDBS,10.9433/072e14c3,0.657,0.73,0.757,0.945,0.753,ACCEPT,
SPEC-00129,2-Ethylhexyl acrylate,103-11-7,Acrylic/PSA,Raman,200-3500 cm-1,"23C, dry air",WITec alpha300,SNIP,SpectraBase,10.2388/2d3bccaa,0.971,0.724,0.845,0.865,0.863,ACCEPT,
SPEC-00606,Epichlorohydrin,106-89-8,Epoxy,Raman,200-3500 cm-1,"25C, N2 purge",Renishaw inVia,Rubberband,SDBS,10.5673/62a90bfd,0.75,0.982,0.828,0.664,0.806,ACCEPT,
SPEC-00224,Polyisoprene,9003-31-0,Rubber-based,FTIR,650-4000 cm-1,"23C, dry air",JASCO FT/IR-6600,ALS,PubChem,10.9204/c2c3a6a1,0.784,0.896,0.906,0.876,0.855,ACCEPT,
SPEC-00914,Polycaprolactone diol,36890-68-3,Polyurethane,Raman,200-3500 cm-1,"Room temperature, ambient atmosphere",WITec alpha300,SNIP,SDBS,10.5861/288f2397,0.744,0.817,0.56,0.618,0.7,FLAG,
SPEC-00495,Bisphenol A diglycidyl ether,1675-54-3,Epoxy,IR,650-4000 cm-1,"23C, dry air",PerkinElmer Spectrum Two,SNIP,SpectraBase,10.1483/c0bab909,0.845,0.979,0.603,0.727,0.806,ACCEPT,
SPEC-00013,Methyl acrylate,96-33-3,Acrylic/PSA,IR,650-4000 cm-1,"Ambient, KBr pellet",Thermo Nicolet iS50,ALS,PubChem,10.6310/ebdf4254,0.917,0.816,0.9,0.812,0.867,ACCEPT,
SPEC-00843,2-Methoxyethyl cyanoacrylate,27816-23-5,Cyanoacrylate,Raman,200-3500 cm-1,"Ambient, 785nm laser",Thermo DXR3,ALS,PubChem,10.2728/25d6793d,0.734,0.685,0.889,0.864,0.779,ACCEPT,
SPEC-00298,Natural rubber,9006-04-6,Rubber-based,Raman,200-3500 cm-1,"Room temperature, ambient atmosphere",WITec alpha300,ALS,SpectraBase,10.9035/1559f5f2,0.943,0.924,0.987,0.817,0.922,ACCEPT,
SPEC-00788,Methyl cyanoacrylate,137-05-3,Cyanoacrylate,IR,650-4000 cm-1,"23C, dry air",PerkinElmer Spectrum Two,Rubberband,SDBS,10.1493/22fd7359,0.8,0.977,0.738,0.775,0.827,ACCEPT,
SPEC-00366,Polyethylene wax,9002-88-4,Hot-melt,FTIR,650-4000 cm-1,"Ambient, KBr pellet",Thermo Nicolet iS50,SNIP,PubChem,10.3018/58a40989,0.939,0.676,0.702,0.903,0.819,ACCEPT,
SPEC-00777,Methyl cyanoacrylate,137-05-3,Cyanoacrylate,IR,650-4000 cm-1,"Room temperature, ambient atmosphere",Thermo Nicolet iS50,Rubberband,NIST WebBook,10.5006/6a2cfc62,0.717,0.751,0.718,0.84,0.75,ACCEPT,
SPEC-00605,Novolac epoxy,28064-14-4,Epoxy,Raman,200-3500 cm-1,"23C, dry air",Bruker Senterra II,ALS,Open SPECY,10.7093/11105694,0.696,0.916,0.627,0.704,0.739,FLAG,
SPEC-00014,Acrylic acid,79-10-7,Acrylic/PSA,IR,650-4000 cm-1,"Room temperature, ambient atmosphere",PerkinElmer Spectrum Two,Rubberband,NIST WebBook,10.8962/0c0227cc,0.734,0.696,0.805,0.632,0.718,FLAG,
SPEC-00210,Ethyl acrylate,140-88-5,Acrylic/PSA,Raman,200-3500 cm-1,"25C, N2 purge",WITec alpha300,ALS,PubChem,10.4470/05696644,0.818,0.948,0.7,0.983,0.86,ACCEPT,
SPEC-00888,Methylene diphenyl diisocyanate,101-68-8,Polyurethane,IR,650-4000 cm-1,"Ambient, KBr pellet",Bruker Vertex 70,ALS,PubChem,10.6605/43ebeca6,0.694,0.738,0.556,0.874,0.713,FLAG,
SPEC-00304,Polyisoprene,9003-31-0,Rubber-based,Raman,200-3500 cm-1,"23C, dry air",WITec alpha300,ALS,Open SPECY,10.3304/f9431894,0.972,0.987,0.649,0.826,0.882,ACCEPT,
SPEC-00351,Styrene-butadiene rubber,9003-55-8,Rubber-based,Raman,200-3500 cm-1,"Room temperature, ambient atmosphere",Renishaw inVia,ALS,SpectraBase,10.1044/9e64dd83,0.842,0.964,0.86,0.792,0.866,ACCEPT,
SPEC-00720,Aminopropyltriethoxysilane,919-30-2,Silicone,Raman,200-3500 cm-1,"Ambient, 785nm laser",Thermo DXR3,Rubberband,Open SPECY,10.6656/2b3e8f65,0.875,0.955,0.831,0.847,0.881,ACCEPT,
SPEC-00863,Isophorone diisocyanate,4098-71-9,Polyurethane,IR,650-4000 cm-1,"23C, dry air",JASCO FT/IR-6600,ALS,SpectraBase,10.2438/0c92b41d,0.93,0.649,0.608,0.682,0.746,FLAG,
SPEC-00004,Butyl acrylate,141-32-2,Acrylic/PSA,FTIR,650-4000 cm-1,"Room temperature, ambient atmosphere",Bruker Vertex 70,SNIP,PubChem,10.8527/83f87c2a,0.783,0.744,0.705,0.706,0.742,FLAG,
SPEC-00672,Octamethylcyclotetrasiloxane,556-67-2,Silicone,IR,650-4000 cm-1,"23C, dry air",PerkinElmer Spectrum Two,Rubberband,SpectraBase,10.2459/6a9e64e7,0.948,0.62,0.828,0.84,0.82,ACCEPT,
SPEC-00552,Cycloaliphatic epoxy,2386-87-0,Epoxy,IR,650-4000 cm-1,"Ambient, KBr pellet",JASCO FT/IR-6600,Rubberband,NIST WebBook,10.4869/2483e36b,0.703,0.779,0.914,0.705,0.765,ACCEPT,
SPEC-00597,Bisphenol F epoxy,2095-03-6,Epoxy,Raman,200-3500 cm-1,"25C, N2 purge",Bruker Senterra II,ALS,SpectraBase,10.6487/d8ffd83a,0.877,0.882,0.802,0.909,0.87,ACCEPT,
SPEC-00458,Polypropylene wax,9003-07-0,Hot-melt,Raman,200-3500 cm-1,"25C, N2 purge",Renishaw inVia,Polynomial (3rd order),SDBS,10.8786/74e7cae4,0.855,0.758,0.659,0.988,0.818,ACCEPT,
SPEC-00519,Epichlorohydrin,106-89-8,Epoxy,IR,650-4000 cm-1,"25C, N2 purge",PerkinElmer Spectrum Two,SNIP,SpectraBase,10.8888/854e22f7,0.973,0.792,0.764,0.614,0.814,ACCEPT,
SPEC-00042,Butyl acrylate,141-32-2,Acrylic/PSA,IR,650-4000 cm-1,"Ambient, KBr pellet",Agilent Cary 630,Rubberband,Open SPECY,10.9099/ac2e8ed0,0.809,0.954,0.809,0.887,0.861,ACCEPT,
SPEC-00415,Polyethylene wax,9002-88-4,Hot-melt,IR,650-4000 cm-1,"25C, N2 purge",Thermo Nicolet iS50,SNIP,KnowItAll,10.1852/10cee64f,0.924,0.98,0.595,0.803,0.848,ACCEPT,
SPEC-00409,Polyethylene wax,9002-88-4,Hot-melt,IR,650-4000 cm-1,"Ambient, KBr pellet",Thermo Nicolet iS50,Rubberband,PubChem,10.2526/01b8c6aa,0.966,0.84,0.945,0.813,0.9,ACCEPT,
SPEC-00460,Polyester hot-melt,25038-59-9,Hot-melt,Raman,200-3500 cm-1,"Ambient, 785nm laser",Renishaw inVia,Rubberband,SDBS,10.6690/fb5e44fb,0.838,0.643,0.77,0.727,0.753,ACCEPT,
SPEC-00782,Octyl cyanoacrylate,16493-40-6,Cyanoacrylate,IR,650-4000 cm-1,"Ambient, KBr pellet",PerkinElmer Spectrum Two,SNIP,KnowItAll,10.7981/0c1d8ea1,0.832,0.692,0.569,0.805,0.739,FLAG,
SPEC-00214,Methyl acrylate,96-33-3,Acrylic/PSA,Raman,200-3500 cm-1,"23C, dry air",Renishaw inVia,SNIP,NIST WebBook,10.6530/6c63025b,0.731,0.828,0.661,0.82,0.759,ACCEPT,
SPEC-00450,Polypropylene wax,9003-07-0,Hot-melt,Raman,200-3500 cm-1,"Ambient, 785nm laser",WITec alpha300,Polynomial (3rd order),NIST WebBook,10.8460/5335ca08,0.795,0.941,0.632,0.716,0.783,ACCEPT,
SPEC-00927,Methylene diphenyl diisocyanate,101-68-8,Polyurethane,Raman,200-3500 cm-1,"23C, dry air",Renishaw inVia,SNIP,Open SPECY,10.3295/5c940070,0.654,0.932,0.737,0.906,0.79,ACCEPT,
SPEC-00120,Butyl acrylate,141-32-2,Acrylic/PSA,Raman,200-3500 cm-1,"25C, N2 purge",Renishaw inVia,Rubberband,KnowItAll,10.6752/6167e714,0.829,0.646,0.779,0.962,0.8,ACCEPT,
SPEC-00776,Butyl cyanoacrylate,6606-65-1,Cyanoacrylate,FTIR,650-4000 cm-1,"Room temperature, ambient atmosphere",Thermo Nicolet iS50,ALS,SDBS,10.8106/646c996a,0.933,0.864,0.974,0.991,0.936,ACCEPT,
SPEC-00569,Triglycidyl isocyanurate,2451-62-9,Epoxy,Raman,200-3500 cm-1,"23C, dry air",Horiba LabRAM HR,SNIP,Open SPECY,10.4129/8743ac16,0.916,0.716,0.641,0.822,0.792,ACCEPT,
SPEC-00626,Phenyltrimethoxysilane,2996-92-1,Silicone,IR,650-4000 cm-1,"Ambient, KBr pellet",Thermo Nicolet iS50,SNIP,SDBS,10.2867/16003a54,0.865,0.933,0.787,0.813,0.856,ACCEPT,
SPEC-00003,Acrylic acid,79-10-7,Acrylic/PSA,FTIR,650-4000 cm-1,"25C, N2 purge",JASCO FT/IR-6600,Rubberband,KnowItAll,10.5552/570cf769,0.933,0.603,0.913,0.879,0.836,ACCEPT,
SPEC-00779,Ethyl cyanoacrylate,7085-85-0,Cyanoacrylate,FTIR,650-4000 cm-1,"Ambient, KBr pellet",JASCO FT/IR-6600,Rubberband,KnowItAll,10.9168/3bf3dc27,0.709,0.755,0.947,0.9,0.806,ACCEPT,
SPEC-00074,Acrylic acid,79-10-7,Acrylic/PSA,IR,650-4000 cm-1,"Ambient, KBr pellet",PerkinElmer Spectrum Two,SNIP,PubChem,10.9889/74590c77,0.763,0.988,0.732,0.806,0.822,ACCEPT,
SPEC-00089,Methyl acrylate,96-33-3,Acrylic/PSA,IR,650-4000 cm-1,"23C, dry air",Agilent Cary 630,ALS,NIST WebBook,10.7484/6f490933,0.851,0.997,0.683,0.991,0.882,ACCEPT,
SPEC-00412,Hydrogenated rosin,65997-06-0,Hot-melt,IR,650-4000 cm-1,"23C, dry air",Bruker Vertex 70,ALS,KnowItAll,10.7698/fefb9261,0.833,0.808,0.719,0.682,0.774,ACCEPT,
SPEC-00580,Bisphenol F epoxy,2095-03-6,Epoxy,Raman,200-3500 cm-1,"23C, dry air",Thermo DXR3,Polynomial (3rd order),Open SPECY,10.2442/81854e1d,0.978,0.844,0.567,0.672,0.801,ACCEPT,
SPEC-00738,Methyltrimethoxysilane,1185-55-3,Silicone,Raman,200-3500 cm-1,"Room temperature, ambient atmosphere",WITec alpha300,Polynomial (3rd order),SDBS,10.8278/9ace9d8d,0.987,0.71,0.643,0.932,0.838,ACCEPT,
SPEC-00283,Chloroprene rubber,9010-98-4,Rubber-based,IR,650-4000 cm-1,"23C, dry air",JASCO FT/IR-6600,Polynomial (3rd order),KnowItAll,10.7438/0e3d77db,0.672,0.865,0.609,0.717,0.717,FLAG,
SPEC-00489,Bisphenol A diglycidyl ether,1675-54-3,Epoxy,FTIR,650-4000 cm-1,"23C, dry air",Bruker Vertex 70,SNIP,SDBS,10.2631/63a0ee9d,0.752,0.953,0.724,0.992,0.845,ACCEPT,
SPEC-00763,Ethyl cyanoacrylate,7085-85-0,Cyanoacrylate,FTIR,650-4000 cm-1,"25C, N2 purge",JASCO FT/IR-6600,ALS,NIST WebBook,10.2065/ba58d8c9,0.68,0.624,0.565,0.725,0.652,FLAG,
SPEC-00032,Hydroxypropyl methacrylate,27813-02-1,Acrylic/PSA,IR,650-4000 cm-1,"Ambient, KBr pellet",PerkinElmer Spectrum Two,ALS,SpectraBase,10.3900/a91cbf16,0.991,0.9,0.967,0.695,0.904,ACCEPT,
SPEC-00313,Styrene-butadiene rubber,9003-55-8,Rubber-based,Raman,200-3500 cm-1,"Ambient, 785nm laser",Thermo DXR3,Rubberband,PubChem,10.9914/2a267479,0.758,0.759,0.77,0.864,0.782,ACCEPT,
SPEC-00341,Natural rubber,9006-04-6,Rubber-based,Raman,200-3500 cm-1,"Ambient, 785nm laser",Bruker Senterra II,SNIP,PubChem,10.3120/a8edde98,0.916,0.667,0.894,0.796,0.825,ACCEPT,
SPEC-00452,Polyester hot-melt,25038-59-9,Hot-melt,Raman,200-3500 cm-1,"Ambient, 785nm laser",Renishaw inVia,Polynomial (3rd order),SpectraBase,10.6601/80bd3b36,0.803,0.603,0.591,0.606,0.671,FLAG,
SPEC-00769,2-Methoxyethyl cyanoacrylate,27816-23-5,Cyanoacrylate,IR,650-4000 cm-1,"Ambient, KBr pellet",JASCO FT/IR-6600,Polynomial (3rd order),SDBS,10.1894/f6125399,0.88,0.658,0.657,0.928,0.79,ACCEPT,
SPEC-00284,Natural rubber,9006-04-6,Rubber-based,FTIR,650-4000 cm-1,"25C, N2 purge",PerkinElmer Spectrum Two,SNIP,SpectraBase,10.2731/6cb6cc70,0.676,0.681,0.901,0.834,0.754,ACCEPT,
SPEC-00860,Polycaprolactone diol,36890-68-3,Polyurethane,FTIR,650-4000 cm-1,"23C, dry air",PerkinElmer Spectrum Two,Rubberband,NIST WebBook,10.8105/eea8a3fa,0.911,0.918,0.631,0.794,0.833,ACCEPT,
SPEC-00278,Styrene-butadiene rubber,9003-55-8,Rubber-based,IR,650-4000 cm-1,"Room temperature, ambient atmosphere",Agilent Cary 630,Polynomial (3rd order),PubChem,10.8483/dd9ed27c,0.957,0.946,0.898,0.724,0.896,ACCEPT,
SPEC-00733,Polydimethylsiloxane,63148-62-9,Silicone,Raman,200-3500 cm-1,"23C, dry air",Horiba LabRAM HR,SNIP,KnowItAll,10.8411/3277a64e,0.842,0.627,0.57,0.792,0.724,FLAG,
SPEC-00443,Hydrogenated rosin,65997-06-0,Hot-melt,Raman,200-3500 cm-1,"Ambient, 785nm laser",Bruker Senterra II,Rubberband,SpectraBase,10.5655/fbff0698,0.704,0.862,0.948,0.724,0.796,ACCEPT,
SPEC-00488,Epichlorohydrin,106-89-8,Epoxy,IR,650-4000 cm-1,"Ambient, KBr pellet",Bruker Vertex 70,Polynomial (3rd order),PubChem,10.2091/237d5296,0.72,0.879,0.672,0.786,0.763,ACCEPT,
SPEC-00634,Aminopropyltriethoxysilane,919-30-2,Silicone,FTIR,650-4000 cm-1,"Room temperature, ambient atmosphere",Agilent Cary 630,Rubberband,PubChem,10.8633/e984e7dd,0.725,0.691,0.601,0.994,0.745,FLAG,
SPEC-00101,2-Ethylhexyl acrylate,103-11-7,Acrylic/PSA,FTIR,650-4000 cm-1,"23C, dry air",Thermo Nicolet iS50,Rubberband,SpectraBase,10.1243/9c7a9e3c,0.839,0.919,0.599,0.947,0.833,ACCEPT,
SPEC-00407,Hydrogenated rosin,65997-06-0,Hot-melt,IR,650-4000 cm-1,"25C, N2 purge",Agilent Cary 630,Polynomial (3rd order),SDBS,10.3338/a71e0cbf,0.997,0.947,0.627,0.932,0.898,ACCEPT,
SPEC-00899,Methylene diphenyl diisocyanate,101-68-8,Polyurethane,IR,650-4000 cm-1,"25C, N2 purge",Agilent Cary 630,Polynomial (3rd order),SpectraBase,10.5491/478f6730,0.819,0.81,0.979,0.916,0.868,ACCEPT,
SPEC-00548,Cycloaliphatic epoxy,2386-87-0,Epoxy,IR,650-4000 cm-1,"Room temperature, ambient atmosphere",Agilent Cary 630,Polynomial (3rd order),SDBS,10.6119/7af5fde2,0.91,0.984,0.585,0.853,0.852,ACCEPT,
